,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,dependency_length,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,predicted_words
212,A friend of many senators hasn't disagreed.,A friend of many senators haven't disagreed.,A friend of many senators,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,212,alabama
213,The newspaper article about the Impressionists has shocked Paula.,The newspaper article about the Impressionists have shocked Paula.,The newspaper article about the Impressionists,has,have,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,213,sing
214,The grandmother of the Borgias murmurs.,The grandmother of the Borgias murmur.,The grandmother of the Borgias,murmurs,murmur,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,214,yourself
215,The cousin of these ladies has suffered.,The cousin of these ladies have suffered.,The cousin of these ladies,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,215,alabama
216,The painting of all hats has alarmed Chad.,The painting of all hats have alarmed Chad.,The painting of all hats,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,216,en
217,The book about the Impressionists doesn't disagree.,The book about the Impressionists don't disagree.,The book about the Impressionists,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,217,chaos
218,The stories about Winston Churchill are embarrassing some teenager.,The stories about Winston Churchill was embarrassing some teenager.,The stories about Winston Churchill,are,was,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,218,strongly
219,A nephew of those drivers doesn't paint.,A nephew of those drivers don't paint.,A nephew of those drivers,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,219,heavyweight
220,The grandmothers of Kristen do forget about what weren't profiting.,The grandmothers of Kristen does forget about what weren't profiting.,The grandmothers of Kristen,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,220,maintaining
221,The cousins of every woman aren't investigating Todd.,The cousins of every woman wasn't investigating Todd.,The cousins of every woman,aren't,wasn't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,221,dubbed
222,A sketch of all ladies doesn't vanish.,A sketch of all ladies don't vanish.,A sketch of all ladies,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,222,yourself
223,The paintings of Melanie don't exist.,The paintings of Melanie doesn't exist.,The paintings of Melanie,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,223,yourself
224,The pamphlets about Galileo weren't winning.,The pamphlets about Galileo isn't winning.,The pamphlets about Galileo,weren't,isn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,224,yourself
225,The photographs of Matt have vanished.,The photographs of Matt has vanished.,The photographs of Matt,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,225,favour
226,The documentary about the Great Lakes disgusts Tiffany.,The documentary about the Great Lakes disgust Tiffany.,The documentary about the Great Lakes,disgusts,disgust,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,226,stuart
227,The grandson of most adults has scared Vincent.,The grandson of most adults have scared Vincent.,The grandson of most adults,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,227,behind
228,The plays about literature astound Catherine.,The plays about literature astounds Catherine.,The plays about literature,astound,astounds,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,228,inspired
229,A picture of shirts doesn't appear.,A picture of shirts don't appear.,A picture of shirts,doesn't,don't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,229,bridge
230,The friends of April order some woman to see.,The friends of April orders some woman to see.,The friends of April,order,orders,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,230,chapter
231,A drawing of most slopes doesn't stun Gary.,A drawing of most slopes don't stun Gary.,A drawing of most slopes,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,231,wore
232,The paintings of a library don't distract Margaret.,The paintings of a library doesn't distract Margaret.,The paintings of a library,don't,doesn't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,232,happened
233,The cousins of William whisper.,The cousins of William whispers.,The cousins of William,whisper,whispers,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,233,priest
234,A father of men prompts Richard to sell the book.,A father of men prompt Richard to sell the book.,A father of men,prompts,prompt,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,234,keys
235,The daughter of most children wasn't spurring Theresa to fall asleep.,The daughter of most children weren't spurring Theresa to fall asleep.,The daughter of most children,wasn't,weren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,235,hallway
236,A report about the Impressionists confuses Stacey.,A report about the Impressionists confuse Stacey.,A report about the Impressionists,confuses,confuse,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,236,favour
237,The show about the Great Lakes doesn't upset Anna.,The show about the Great Lakes don't upset Anna.,The show about the Great Lakes,doesn't,don't,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,237,favour
238,The paintings of this mirror don't waste away.,The paintings of this mirror doesn't waste away.,The paintings of this mirror,don't,doesn't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,238,favour
239,The brother of those girls is talking.,The brother of those girls are talking.,The brother of those girls,is,are,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,239,sample
240,The mother of many adults has learned.,The mother of many adults have learned.,The mother of many adults,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,240,yourself
241,The grandmother of teenagers is reading.,The grandmother of teenagers were reading.,The grandmother of teenagers,is,were,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,241,yourself
242,The pictures of some apple don't distract some guests.,The pictures of some apple doesn't distract some guests.,The pictures of some apple,don't,doesn't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,242,literally
243,The brochures about politics have alarmed a lot of teenagers.,The brochures about politics has alarmed a lot of teenagers.,The brochures about politics,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,243,95
244,The sketch of the Borgias has annoyed Colleen.,The sketch of the Borgias have annoyed Colleen.,The sketch of the Borgias,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,244,favour
245,A play about the Impressionists has confused Suzanne.,A play about the Impressionists have confused Suzanne.,A play about the Impressionists,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,245,t
246,The documentaries about music don't hurt Lucille.,The documentaries about music doesn't hurt Lucille.,The documentaries about music,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,246,estimated
247,The brothers of Bill hate Timothy.,The brothers of Bill hates Timothy.,The brothers of Bill,hate,hates,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,247,favour
248,The newspaper article about the Lutherans exists.,The newspaper article about the Lutherans exist.,The newspaper article about the Lutherans,exists,exist,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,248,dear
249,The movies about Galileo haven't distracted Amy.,The movies about Galileo hasn't distracted Amy.,The movies about Galileo,haven't,hasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,249,wore
250,A newspaper article about the Impressionists astounds Ann.,A newspaper article about the Impressionists astound Ann.,A newspaper article about the Impressionists,astounds,astound,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,250,t
251,The commentary about the Borgias wins.,The commentary about the Borgias win.,The commentary about the Borgias,wins,win,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,251,yourself
252,An essay about the Borgias hasn't bothered Beth.,An essay about the Borgias haven't bothered Beth.,An essay about the Borgias,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,252,doors
253,The granddaughters of Thomas have messed up this high school.,The granddaughters of Thomas has messed up this high school.,The granddaughters of Thomas,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,253,estimated
254,The essay about current events has shocked the Impressionists.,The essay about current events have shocked the Impressionists.,The essay about current events,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,254,sale
255,The sister of these dancers has swallowed.,The sister of these dancers have swallowed.,The sister of these dancers,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,255,owner
256,The photographs of Beverly look like Bill.,The photographs of Beverly looks like Bill.,The photographs of Beverly,look like,looks like,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,256,2016
257,The photograph of all patients isn't bothering the customer.,The photograph of all patients aren't bothering the customer.,The photograph of all patients,isn't,aren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,257,д
258,The pamphlets about Harvard University do distract every library.,The pamphlets about Harvard University does distract every library.,The pamphlets about Harvard University,do,does,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,258,chapter
259,A daughter of students struggles.,A daughter of students struggle.,A daughter of students,struggles,struggle,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,259,priest
260,The book about current events hasn't scared Michelle.,The book about current events haven't scared Michelle.,The book about current events,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,260,lands
261,The brothers of Frank aren't healing Sonia.,The brothers of Frank wasn't healing Sonia.,The brothers of Frank,aren't,wasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,261,heavyweight
262,The shows about Winston Churchill do hurt Andrew.,The shows about Winston Churchill does hurt Andrew.,The shows about Winston Churchill,do,does,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,262,chapter
263,The drawing of schools does scare Ellen.,The drawing of schools do scare Ellen.,The drawing of schools,does,do,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,263,favour
264,The pamphlets about Galileo are wasting away.,The pamphlets about Galileo is wasting away.,The pamphlets about Galileo,are,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,264,favour
265,The report about the Lutherans impresses Jerry.,The report about the Lutherans impress Jerry.,The report about the Lutherans,impresses,impress,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,265,yourself
266,A book about the Lutherans does resemble some print.,A book about the Lutherans do resemble some print.,A book about the Lutherans,does,do,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,266,favour
267,The daughter of some waiters wasn't sneezing.,The daughter of some waiters aren't sneezing.,The daughter of some waiters,wasn't,aren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,267,chapter
268,A mother of many teenagers hasn't tempted Frank to get a job.,A mother of many teenagers haven't tempted Frank to get a job.,A mother of many teenagers,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,268,hallway
269,The brothers of Daniel have broken the plate.,The brothers of Daniel has broken the plate.,The brothers of Daniel,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,269,priest
270,The reports about Jesus were winning.,The reports about Jesus is winning.,The reports about Jesus,were,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,270,priest
271,A painting of all guys hasn't aggravated Matt.,A painting of all guys haven't aggravated Matt.,A painting of all guys,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,271,favour
272,The prints of this pork aren't distracting Denise.,The prints of this pork wasn't distracting Denise.,The prints of this pork,aren't,wasn't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,272,saints
273,The nieces of some boy are wasting away.,The nieces of some boy is wasting away.,The nieces of some boy,are,is,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,273,favour
274,The friend of many ladies doubts some cart hadn't tipped over.,The friend of many ladies doubt some cart hadn't tipped over.,The friend of many ladies,doubts,doubt,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,274,nor
275,The drawings of a movie theater embarrass Candice.,The drawings of a movie theater embarrasses Candice.,The drawings of a movie theater,embarrass,embarrasses,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,275,protective
276,The nieces of Alexander do yell.,The nieces of Alexander does yell.,The nieces of Alexander,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,276,yourself
277,The cousins of Michael haven't listened to Amanda.,The cousins of Michael hasn't listened to Amanda.,The cousins of Michael,haven't,hasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,277,orbit
278,The granddaughter of the Impressionists doesn't depart.,The granddaughter of the Impressionists don't depart.,The granddaughter of the Impressionists,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,278,festivals
279,The stories about travel embarrass Michael.,The stories about travel embarrasses Michael.,The stories about travel,embarrass,embarrasses,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,279,approached
280,The fathers of every senator entice Monet to hide steps.,The fathers of every senator entices Monet to hide steps.,The fathers of every senator,entice,entices,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,280,anyone
281,The sons of Frank entreat the companies to explain everything.,The sons of Frank entreats the companies to explain everything.,The sons of Frank,entreat,entreats,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,281,going
282,The brochures about Harvard University do annoy this dancer.,The brochures about Harvard University does annoy this dancer.,The brochures about Harvard University,do,does,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,282,curtis
283,The daughters of Galileo were needing to lift the stairs.,The daughters of Galileo was needing to lift the stairs.,The daughters of Galileo,were,was,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,283,alabama
284,The grandmother of the Clintons complains about Robert.,The grandmother of the Clintons complain about Robert.,The grandmother of the Clintons,complains about,complain about,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,284,alabama
285,The books about music haven't scared Scott.,The books about music hasn't scared Scott.,The books about music,haven't,hasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,285,favour
286,A son of all drivers hasn't concealed who is lifting the apples.,A son of all drivers haven't concealed who is lifting the apples.,A son of all drivers,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,286,folded
287,The grandfather of the Borgias cares for Naomi.,The grandfather of the Borgias care for Naomi.,The grandfather of the Borgias,cares for,care for,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,287,sample
288,The daughter of many drivers has anticipated a lot of students to bake.,The daughter of many drivers have anticipated a lot of students to bake.,The daughter of many drivers,has,have,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,288,nor
289,The prints of Rachel have impressed Kendra.,The prints of Rachel has impressed Kendra.,The prints of Rachel,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,289,priest
290,The movies about Spain don't disgust Harvard University.,The movies about Spain doesn't disgust Harvard University.,The movies about Spain,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,290,posted
291,The nephews of Vincent do dare Dennis to examine a story.,The nephews of Vincent does dare Dennis to examine a story.,The nephews of Vincent,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,291,protective
292,A show about the Impressionists was disagreeing.,A show about the Impressionists are disagreeing.,A show about the Impressionists,was,are,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,292,alabama
293,A movie about the Lutherans doesn't bore Thomas.,A movie about the Lutherans don't bore Thomas.,A movie about the Lutherans,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,293,heavyweight
294,The niece of women sells many projectors.,The niece of women sell many projectors.,The niece of women,sells,sell,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,294,martin
295,The newspaper articles about art don't distract Joel.,The newspaper articles about art doesn't distract Joel.,The newspaper articles about art,don't,doesn't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,295,[unknown]
296,The paintings of Beverly have disgusted that woman.,The paintings of Beverly has disgusted that woman.,The paintings of Beverly,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,296,2016
297,The book about the Borgias does embarrass Michael.,The book about the Borgias do embarrass Michael.,The book about the Borgias,does,do,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,297,estimated
298,An essay about current events doesn't shock Rose.,An essay about current events don't shock Rose.,An essay about current events,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,298,bridge
299,The newspaper article about the Great Lakes is hurting Elaine.,The newspaper article about the Great Lakes are hurting Elaine.,The newspaper article about the Great Lakes,is,are,7,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,299,bridge
300,The granddaughters of Stacy weren't departing.,The granddaughters of Stacy wasn't departing.,The granddaughters of Stacy,weren't,wasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,300,宣
301,The books about politics stun Leslie.,The books about politics stuns Leslie.,The books about politics,stun,stuns,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,301,priest
302,The daughters of Melanie do motivate the nephews of Sandra to benefit.,The daughters of Melanie does motivate the nephews of Sandra to benefit.,The daughters of Melanie,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,302,infrastructure
303,The prints of every vase aggravate Nina.,The prints of every vase aggravates Nina.,The prints of every vase,aggravate,aggravates,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,303,priest
304,The grandmother of the Impressionists was getting fired.,The grandmother of the Impressionists were getting fired.,The grandmother of the Impressionists,was,were,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,304,yourself
305,A report about current events was stunning Teresa.,A report about current events are stunning Teresa.,A report about current events,was,are,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,305,favour
306,A book about the Borgias is disgusting these committees.,A book about the Borgias were disgusting these committees.,A book about the Borgias,is,were,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,306,chapter
307,The reports about Galileo aren't disappearing.,The reports about Galileo wasn't disappearing.,The reports about Galileo,aren't,wasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,307,yourself
308,The sketch of a lot of jackets doesn't upset organizations.,The sketch of a lot of jackets don't upset organizations.,The sketch of a lot of jackets,doesn't,don't,7,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,308,accused
309,The grandsons of Grace don't sit down.,The grandsons of Grace doesn't sit down.,The grandsons of Grace,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,309,1914
310,A friend of teachers isn't worrying many guys.,A friend of teachers weren't worrying many guys.,A friend of teachers,isn't,weren't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,310,saints
311,The pamphlets about Monet disappear.,The pamphlets about Monet disappears.,The pamphlets about Monet,disappear,disappears,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,311,yourself
312,The shows about Galileo weren't disturbing those women.,The shows about Galileo isn't disturbing those women.,The shows about Galileo,weren't,isn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,312,favour
313,The mothers of Jacqueline observe every actress.,The mothers of Jacqueline observes every actress.,The mothers of Jacqueline,observe,observes,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,313,priest
314,A cousin of most waiters doesn't order Cynthia to bake.,A cousin of most waiters don't order Cynthia to bake.,A cousin of most waiters,doesn't,don't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,314,steep
315,The grandfathers of Bethany have compelled that organization to like Steven.,The grandfathers of Bethany has compelled that organization to like Steven.,The grandfathers of Bethany,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,315,infrastructure
316,The newspaper article about current events has aggravated most associations.,The newspaper article about current events have aggravated most associations.,The newspaper article about current events,has,have,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,316,sing
317,The friends of Jacqueline haven't respected Travis.,The friends of Jacqueline hasn't respected Travis.,The friends of Jacqueline,haven't,hasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,317,alabama
318,The photograph of some drivers upsets Walter.,The photograph of some drivers upset Walter.,The photograph of some drivers,upsets,upset,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,318,favour
319,The photographs of Bill disappear.,The photographs of Bill disappears.,The photographs of Bill,disappear,disappears,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,319,yourself
320,The books about Jesus have wasted away.,The books about Jesus has wasted away.,The books about Jesus,have,has,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,320,priest
321,The paintings of an art gallery impress Rodney.,The paintings of an art gallery impresses Rodney.,The paintings of an art gallery,impress,impresses,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,321,priest
322,The commentaries about Harvard University aggravate Cindy.,The commentaries about Harvard University aggravates Cindy.,The commentaries about Harvard University,aggravate,aggravates,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,322,priest
323,The documentary about the Clintons sounds like these senators.,The documentary about the Clintons sound like these senators.,The documentary about the Clintons,sounds like,sound like,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,323,priest
324,A niece of most waitresses isn't motivating Heather to talk about Janet.,A niece of most waitresses aren't motivating Heather to talk about Janet.,A niece of most waitresses,isn't,aren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,324,wore
325,An essay about the Impressionists does sound like Gary.,An essay about the Impressionists do sound like Gary.,An essay about the Impressionists,does,do,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,325,e
326,The commentary about the Balkans hasn't stunned Wendy.,The commentary about the Balkans haven't stunned Wendy.,The commentary about the Balkans,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,326,favour
327,The daughter of all girls hasn't forgotten what was vaporizing.,The daughter of all girls haven't forgotten what was vaporizing.,The daughter of all girls,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,327,comedy
328,The essays about literature bother Carolyn.,The essays about literature bothers Carolyn.,The essays about literature,bother,bothers,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,328,priest
329,The cousin of a lot of adults heals Heather.,The cousin of a lot of adults heal Heather.,The cousin of a lot of adults,heals,heal,7,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,329,e
330,The paintings of some skirt do bore Tanya.,The paintings of some skirt does bore Tanya.,The paintings of some skirt,do,does,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,330,yourself
331,The grandmothers of Gary aren't managing to shock many teenagers.,The grandmothers of Gary isn't managing to shock many teenagers.,The grandmothers of Gary,aren't,isn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,331,wore
332,The reports about music stun Susan.,The reports about music stuns Susan.,The reports about music,stun,stuns,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,332,priest
333,The granddaughter of a lot of adults arrives at Harvard University.,The granddaughter of a lot of adults arrive at Harvard University.,The granddaughter of a lot of adults,arrives at,arrive at,7,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,333,chapter
334,The prints of Erin were confusing every company.,The prints of Erin is confusing every company.,The prints of Erin,were,is,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,334,yourself
335,The documentary about the Clintons distracts Susan.,The documentary about the Clintons distract Susan.,The documentary about the Clintons,distracts,distract,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,335,priest
336,The sons of Beverly don't fail to buy those mushrooms.,The sons of Beverly doesn't fail to buy those mushrooms.,The sons of Beverly,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,336,priest
337,The sisters of Theodore forget about what don't open.,The sisters of Theodore forgets about what don't open.,The sisters of Theodore,forget about,forgets about,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,337,priest
338,A niece of most guests watches Derek.,A niece of most guests watch Derek.,A niece of most guests,watches,watch,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,338,priest
339,The grandmother of these cashiers wasn't motivating Tara's guests to weep.,The grandmother of these cashiers aren't motivating Tara's guests to weep.,The grandmother of these cashiers,wasn't,aren't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,339,chaos
340,The pamphlets about art don't irritate Alice.,The pamphlets about art doesn't irritate Alice.,The pamphlets about art,don't,doesn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,340,tip
341,The report about the Clintons resembles a print.,The report about the Clintons resemble a print.,The report about the Clintons,resembles,resemble,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,341,[unknown]
342,The mother of the Impressionists swallows.,The mother of the Impressionists swallow.,The mother of the Impressionists,swallows,swallow,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,342,2016
343,The picture of all candles hasn't alarmed some universities.,The picture of all candles haven't alarmed some universities.,The picture of all candles,hasn't,haven't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,343,covers
344,The photographs of Sheila haven't bored Erin.,The photographs of Sheila hasn't bored Erin.,The photographs of Sheila,haven't,hasn't,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,344,chapter
345,The friends of Homer do distract every hospital.,The friends of Homer does distract every hospital.,The friends of Homer,do,does,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,345,favour
346,The show about the Great Lakes was scaring Julia.,The show about the Great Lakes are scaring Julia.,The show about the Great Lakes,was,are,6,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,346,uncredited
347,The movies about Harvard University haven't astounded Kevin.,The movies about Harvard University hasn't astounded Kevin.,The movies about Harvard University,haven't,hasn't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,347,wore
348,The granddaughters of every customer don't fire a waitress.,The granddaughters of every customer doesn't fire a waitress.,The granddaughters of every customer,don't,doesn't,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,348,maintaining
349,The photographs of Alexander resemble all sketches.,The photographs of Alexander resembles all sketches.,The photographs of Alexander,resemble,resembles,4,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,349,yourself
350,The picture of those cucumbers astounds Kayla.,The picture of those cucumbers astound Kayla.,The picture of those cucumbers,astounds,astound,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,350,heavyweight
351,A print of the dresses astounds Regina.,A print of the dresses astound Regina.,A print of the dresses,astounds,astound,5,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,351,rate
