,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,predicted_words
241,Mary wasn't referenced by the waiter.,Mary wasn't referenced by the governments.,Mary wasn't referenced by the,waiter,governments,syntax,s-selection,animate_subject_passive,True,True,False,False,241,ウ
242,The Clintons aren't found by the senator.,The Clintons aren't found by the casserole.,The Clintons aren't found by the,senator,casserole,syntax,s-selection,animate_subject_passive,True,True,False,False,242,歌
243,Bradley is complained about by some guest.,Bradley is complained about by some shawls.,Bradley is complained about by some,guest,shawls,syntax,s-selection,animate_subject_passive,True,True,False,False,243,rises
244,These grocery stores aren't walked through by the pedestrians.,These grocery stores aren't walked through by the dog.,These grocery stores aren't walked through by the,pedestrians,dog,syntax,s-selection,animate_subject_passive,True,True,False,False,244,scotland
245,Dawn wasn't talked about by some driver.,Dawn wasn't talked about by some paralyses.,Dawn wasn't talked about by some,driver,paralyses,syntax,s-selection,animate_subject_passive,True,True,False,False,245,oo
246,Aaron was argued about by some dancers.,Aaron was argued about by some cars.,Aaron was argued about by some,dancers,cars,syntax,s-selection,animate_subject_passive,True,True,False,False,246,nhl
247,Brenda is helped by some child.,Brenda is helped by some plate.,Brenda is helped by some,child,plate,syntax,s-selection,animate_subject_passive,True,True,False,False,247,rises
248,Tonya wasn't cared for by some senator.,Tonya wasn't cared for by some shawls.,Tonya wasn't cared for by some,senator,shawls,syntax,s-selection,animate_subject_passive,True,True,False,False,248,inc
249,That vase is broken by some boys.,That vase is broken by some dog.,That vase is broken by some,boys,dog,syntax,s-selection,animate_subject_passive,True,True,False,False,249,[unknown]
250,Samantha wasn't admired by the waitresses.,Samantha wasn't admired by the radii.,Samantha wasn't admired by the,waitresses,radii,syntax,s-selection,animate_subject_passive,True,True,False,False,250,jin
251,Douglas wasn't forgotten by the cashiers.,Douglas wasn't forgotten by the mouth.,Douglas wasn't forgotten by the,cashiers,mouth,syntax,s-selection,animate_subject_passive,True,True,False,False,251,individual
252,Renee wasn't worked with by some adult.,Renee wasn't worked with by some bread.,Renee wasn't worked with by some,adult,bread,syntax,s-selection,animate_subject_passive,True,True,False,False,252,squad
253,Some photograph isn't researched by the patients.,Some photograph isn't researched by the candle.,Some photograph isn't researched by the,patients,candle,syntax,s-selection,animate_subject_passive,True,True,False,False,253,checking
254,Some mountains weren't ascended by some alumni.,Some mountains weren't ascended by some ladder.,Some mountains weren't ascended by some,alumni,ladder,syntax,s-selection,animate_subject_passive,True,True,False,False,254,charlotte
255,Pamela was revealed by some teenagers.,Pamela was revealed by some hat.,Pamela was revealed by some,teenagers,hat,syntax,s-selection,animate_subject_passive,True,True,False,False,255,jones
256,Gary is worked with by the woman.,Gary is worked with by the play.,Gary is worked with by the,woman,play,syntax,s-selection,animate_subject_passive,True,True,False,False,256,pastor
257,Those schools are passed by the adults.,Those schools are passed by the newspaper article.,Those schools are passed by the,adults,newspaper article,syntax,s-selection,animate_subject_passive,True,True,False,False,257,nhl
258,Every mountain is biked to by the women.,Every mountain is biked to by the gloves.,Every mountain is biked to by the,women,gloves,syntax,s-selection,animate_subject_passive,True,True,False,False,258,june
259,Many movies aren't hated by the children.,Many movies aren't hated by the sketch.,Many movies aren't hated by the,children,sketch,syntax,s-selection,animate_subject_passive,True,True,False,False,259,[MASK]
260,Alice wasn't admired by the boys.,Alice wasn't admired by the ladder.,Alice wasn't admired by the,boys,ladder,syntax,s-selection,animate_subject_passive,True,True,False,False,260,radical
261,Grace wasn't hugged by the actor.,Grace wasn't hugged by the movies.,Grace wasn't hugged by the,actor,movies,syntax,s-selection,animate_subject_passive,True,True,False,False,261,requirements
262,Every newspaper article isn't scanned by the people.,Every newspaper article isn't scanned by the hamsters.,Every newspaper article isn't scanned by the,people,hamsters,syntax,s-selection,animate_subject_passive,True,True,False,False,262,mm
263,Every cashier isn't hated by the man.,Every cashier isn't hated by the tomato.,Every cashier isn't hated by the,man,tomato,syntax,s-selection,animate_subject_passive,True,True,False,False,263,ho
264,These teachers aren't admired by the alumnus.,These teachers aren't admired by the casseroles.,These teachers aren't admired by the,alumnus,casseroles,syntax,s-selection,animate_subject_passive,True,True,False,False,264,歌
265,Every dancer is described by the waitresses.,Every dancer is described by the projector.,Every dancer is described by the,waitresses,projector,syntax,s-selection,animate_subject_passive,True,True,False,False,265,f
266,That fish is taken by some teenagers.,That fish is taken by some shoes.,That fish is taken by some,teenagers,shoes,syntax,s-selection,animate_subject_passive,True,True,False,False,266,ウ
267,Teresa wasn't seen by some guest.,Teresa wasn't seen by some windows.,Teresa wasn't seen by some,guest,windows,syntax,s-selection,animate_subject_passive,True,True,False,False,267,requirements
268,Many college campuses were walked through by some children.,Many college campuses were walked through by some sheep.,Many college campuses were walked through by some,children,sheep,syntax,s-selection,animate_subject_passive,True,True,False,False,268,tilted
269,This mall isn't walked through by some pedestrian.,This mall isn't walked through by some pictures.,This mall isn't walked through by some,pedestrian,pictures,syntax,s-selection,animate_subject_passive,True,True,False,False,269,scotland
270,Some closets weren't fled from by some cashier.,Some closets weren't fled from by some face.,Some closets weren't fled from by some,cashier,face,syntax,s-selection,animate_subject_passive,True,True,False,False,270,[unknown]
271,Some boy isn't revealed by some senators.,Some boy isn't revealed by some diagnosis.,Some boy isn't revealed by some,senators,diagnosis,syntax,s-selection,animate_subject_passive,True,True,False,False,271,[unknown]
272,This restaurant is driven to by some teachers.,This restaurant is driven to by some ellipses.,This restaurant is driven to by some,teachers,ellipses,syntax,s-selection,animate_subject_passive,True,True,False,False,272,ウ
273,The cafes weren't gone to by some student.,The cafes weren't gone to by some horse.,The cafes weren't gone to by some,student,horse,syntax,s-selection,animate_subject_passive,True,True,False,False,273,f
274,Dana is observed by some student.,Dana is observed by some sketch.,Dana is observed by some,student,sketch,syntax,s-selection,animate_subject_passive,True,True,False,False,274,rises
275,Rhonda wasn't insulted by the guy.,Rhonda wasn't insulted by the movie.,Rhonda wasn't insulted by the,guy,movie,syntax,s-selection,animate_subject_passive,True,True,False,False,275,神
276,Tiffany is attacked by the adult.,Tiffany is attacked by the fungus.,Tiffany is attacked by the,adult,fungus,syntax,s-selection,animate_subject_passive,True,True,False,False,276,rises
277,Many libraries are driven to by some adult.,Many libraries are driven to by some phenomena.,Many libraries are driven to by some,adult,phenomena,syntax,s-selection,animate_subject_passive,True,True,False,False,277,pastor
278,That college campus was explored by the teacher.,That college campus was explored by the media.,That college campus was explored by the,teacher,media,syntax,s-selection,animate_subject_passive,True,True,False,False,278,militia
279,These casseroles were noticed by some patient.,These casseroles were noticed by some dish.,These casseroles were noticed by some,patient,dish,syntax,s-selection,animate_subject_passive,True,True,False,False,279,tilted
280,Every child wasn't remembered by some guy.,Every child wasn't remembered by some windows.,Every child wasn't remembered by some,guy,windows,syntax,s-selection,animate_subject_passive,True,True,False,False,280,ery
281,That eye was found by the teachers.,That eye was found by the commentaries.,That eye was found by the,teachers,commentaries,syntax,s-selection,animate_subject_passive,True,True,False,False,281,pastor
282,Paula was described by the patient.,Paula was described by the bicycle.,Paula was described by the,patient,bicycle,syntax,s-selection,animate_subject_passive,True,True,False,False,282,nhl
283,All reports weren't scanned by the guys.,All reports weren't scanned by the photographs.,All reports weren't scanned by the,guys,photographs,syntax,s-selection,animate_subject_passive,True,True,False,False,283,squad
284,Ann wasn't worked with by some teenager.,Ann wasn't worked with by some hypotheses.,Ann wasn't worked with by some,teenager,hypotheses,syntax,s-selection,animate_subject_passive,True,True,False,False,284,mercy
285,A doctor wasn't boasted about by some dancers.,A doctor wasn't boasted about by some cups.,A doctor wasn't boasted about by some,dancers,cups,syntax,s-selection,animate_subject_passive,True,True,False,False,285,lakes
286,Stories aren't scanned by some students.,Stories aren't scanned by some pie.,Stories aren't scanned by some,students,pie,syntax,s-selection,animate_subject_passive,True,True,False,False,286,ウ
287,Some unicycles were broken by some waitresses.,Some unicycles were broken by some glass.,Some unicycles were broken by some,waitresses,glass,syntax,s-selection,animate_subject_passive,True,True,False,False,287,incredible
288,Rice isn't bought by some children.,Rice isn't bought by some mirrors.,Rice isn't bought by some,children,mirrors,syntax,s-selection,animate_subject_passive,True,True,False,False,288,sussex
289,Some guys weren't criticized by some person.,Some guys weren't criticized by some reports.,Some guys weren't criticized by some,person,reports,syntax,s-selection,animate_subject_passive,True,True,False,False,289,f
290,Those high schools aren't messed up by some doctor.,Those high schools aren't messed up by some synthesis.,Those high schools aren't messed up by some,doctor,synthesis,syntax,s-selection,animate_subject_passive,True,True,False,False,290,ery
291,The documentary wasn't examined by the adult.,The documentary wasn't examined by the association.,The documentary wasn't examined by the,adult,association,syntax,s-selection,animate_subject_passive,True,True,False,False,291,[unknown]
292,Naomi is loved by the dancers.,Naomi is loved by the fish.,Naomi is loved by the,dancers,fish,syntax,s-selection,animate_subject_passive,True,True,False,False,292,rises
293,Jodi isn't loved by the senators.,Jodi isn't loved by the brochures.,Jodi isn't loved by the,senators,brochures,syntax,s-selection,animate_subject_passive,True,True,False,False,293,歌
294,Jason isn't hired by some ladies.,Jason isn't hired by some projectors.,Jason isn't hired by some,ladies,projectors,syntax,s-selection,animate_subject_passive,True,True,False,False,294,ウ
295,Every library wasn't explored by the students.,Every library wasn't explored by the plays.,Every library wasn't explored by the,students,plays,syntax,s-selection,animate_subject_passive,True,True,False,False,295,f
296,Those schools aren't biked to by some senators.,Those schools aren't biked to by some box.,Those schools aren't biked to by some,senators,box,syntax,s-selection,animate_subject_passive,True,True,False,False,296,₅
297,These rabbits are taken by some dancer.,These rabbits are taken by some birds.,These rabbits are taken by some,dancer,birds,syntax,s-selection,animate_subject_passive,True,True,False,False,297,[unknown]
298,James wasn't attacked by some man.,James wasn't attacked by some drawing.,James wasn't attacked by some,man,drawing,syntax,s-selection,animate_subject_passive,True,True,False,False,298,sussex
299,Sheila is remembered by some actor.,Sheila is remembered by some plate.,Sheila is remembered by some,actor,plate,syntax,s-selection,animate_subject_passive,True,True,False,False,299,rises
300,These documentaries were argued about by some ladies.,These documentaries were argued about by some paralysis.,These documentaries were argued about by some,ladies,paralysis,syntax,s-selection,animate_subject_passive,True,True,False,False,300,ছ
301,Brenda was listened to by the doctor.,Brenda was listened to by the radius.,Brenda was listened to by the,doctor,radius,syntax,s-selection,animate_subject_passive,True,True,False,False,301,radical
302,Rivers weren't gone to by the teenagers.,Rivers weren't gone to by the print.,Rivers weren't gone to by the,teenagers,print,syntax,s-selection,animate_subject_passive,True,True,False,False,302,throat
303,Peter isn't escaped from by the waitress.,Peter isn't escaped from by the axes.,Peter isn't escaped from by the,waitress,axes,syntax,s-selection,animate_subject_passive,True,True,False,False,303,stands
304,Bread is cleaned by the men.,Bread is cleaned by the dogs.,Bread is cleaned by the,men,dogs,syntax,s-selection,animate_subject_passive,True,True,False,False,304,ウ
305,Brad is forgotten by some actress.,Brad is forgotten by some skateboards.,Brad is forgotten by some,actress,skateboards,syntax,s-selection,animate_subject_passive,True,True,False,False,305,rises
306,All museums aren't driven to by the driver.,All museums aren't driven to by the couch.,All museums aren't driven to by the,driver,couch,syntax,s-selection,animate_subject_passive,True,True,False,False,306,[unknown]
307,Some cafe isn't messed up by some pedestrians.,Some cafe isn't messed up by some lamp.,Some cafe isn't messed up by some,pedestrians,lamp,syntax,s-selection,animate_subject_passive,True,True,False,False,307,1919
308,Companies were researched by the patient.,Companies were researched by the casseroles.,Companies were researched by the,patient,casseroles,syntax,s-selection,animate_subject_passive,True,True,False,False,308,rises
309,Amelia wasn't watched by some people.,Amelia wasn't watched by some cars.,Amelia wasn't watched by some,people,cars,syntax,s-selection,animate_subject_passive,True,True,False,False,309,radical
310,Denise was argued about by the senator.,Denise was argued about by the plane.,Denise was argued about by the,senator,plane,syntax,s-selection,animate_subject_passive,True,True,False,False,310,ウ
311,Most hills aren't ascended by some waitresses.,Most hills aren't ascended by some sheep.,Most hills aren't ascended by some,waitresses,sheep,syntax,s-selection,animate_subject_passive,True,True,False,False,311,scotland
312,Joseph is described by some adults.,Joseph is described by some glass.,Joseph is described by some,adults,glass,syntax,s-selection,animate_subject_passive,True,True,False,False,312,rises
313,The stairs are hidden by some doctor.,The stairs are hidden by some deer.,The stairs are hidden by some,doctor,deer,syntax,s-selection,animate_subject_passive,True,True,False,False,313,[unknown]
314,Jennifer isn't hated by the children.,Jennifer isn't hated by the documentary.,Jennifer isn't hated by the,children,documentary,syntax,s-selection,animate_subject_passive,True,True,False,False,314,radical
315,The stairs were ascended by the alumnus.,The stairs were ascended by the axis.,The stairs were ascended by the,alumnus,axis,syntax,s-selection,animate_subject_passive,True,True,False,False,315,þ
316,Every truck wasn't bought by the waiter.,Every truck wasn't bought by the jackets.,Every truck wasn't bought by the,waiter,jackets,syntax,s-selection,animate_subject_passive,True,True,False,False,316,combined
317,The screen isn't fixed by some offspring.,The screen isn't fixed by some windows.,The screen isn't fixed by some,offspring,windows,syntax,s-selection,animate_subject_passive,True,True,False,False,317,race
318,Most children are praised by some boys.,Most children are praised by some blouses.,Most children are praised by some,boys,blouses,syntax,s-selection,animate_subject_passive,True,True,False,False,318,pastor
319,Some newspaper article is scanned by the doctors.,Some newspaper article is scanned by the shirts.,Some newspaper article is scanned by the,doctors,shirts,syntax,s-selection,animate_subject_passive,True,True,False,False,319,コ
320,Many grocery stores are arrived at by some woman.,Many grocery stores are arrived at by some projectors.,Many grocery stores are arrived at by some,woman,projectors,syntax,s-selection,animate_subject_passive,True,True,False,False,320,june
321,Every hospital isn't admired by the boys.,Every hospital isn't admired by the glasses.,Every hospital isn't admired by the,boys,glasses,syntax,s-selection,animate_subject_passive,True,True,False,False,321,gay
322,These boxes aren't brought by some man.,These boxes aren't brought by some media.,These boxes aren't brought by some,man,media,syntax,s-selection,animate_subject_passive,True,True,False,False,322,race
323,Rodney isn't hired by some teacher.,Rodney isn't hired by some hypotheses.,Rodney isn't hired by some,teacher,hypotheses,syntax,s-selection,animate_subject_passive,True,True,False,False,323,^
324,Most computers weren't broken by some men.,Most computers weren't broken by some drawings.,Most computers weren't broken by some,men,drawings,syntax,s-selection,animate_subject_passive,True,True,False,False,324,[unknown]
325,This play wasn't boasted about by some pedestrian.,This play wasn't boasted about by some species.,This play wasn't boasted about by some,pedestrian,species,syntax,s-selection,animate_subject_passive,True,True,False,False,325,mercy
326,Sally is observed by some people.,Sally is observed by some rabbits.,Sally is observed by some,people,rabbits,syntax,s-selection,animate_subject_passive,True,True,False,False,326,rises
327,Monica isn't fled from by the offspring.,Monica isn't fled from by the syntheses.,Monica isn't fled from by the,offspring,syntheses,syntax,s-selection,animate_subject_passive,True,True,False,False,327,ม
328,Anne isn't insulted by the actress.,Anne isn't insulted by the cucumber.,Anne isn't insulted by the,actress,cucumber,syntax,s-selection,animate_subject_passive,True,True,False,False,328,[unknown]
329,Curtis is returned to by the adult.,Curtis is returned to by the vase.,Curtis is returned to by the,adult,vase,syntax,s-selection,animate_subject_passive,True,True,False,False,329,nhl
330,Some people aren't argued about by some lady.,Some people aren't argued about by some glasses.,Some people aren't argued about by some,lady,glasses,syntax,s-selection,animate_subject_passive,True,True,False,False,330,ho
331,Carmen is healed by some lady.,Carmen is healed by some bike.,Carmen is healed by some,lady,bike,syntax,s-selection,animate_subject_passive,True,True,False,False,331,rises
332,Those museums are messed up by the lady.,Those museums are messed up by the plate.,Those museums are messed up by the,lady,plate,syntax,s-selection,animate_subject_passive,True,True,False,False,332,東
333,Many plates weren't broken by some adult.,Many plates weren't broken by some ice cream.,Many plates weren't broken by some,adult,ice cream,syntax,s-selection,animate_subject_passive,True,True,False,False,333,歌
334,These forks aren't taken by some senators.,These forks aren't taken by some cup.,These forks aren't taken by some,senators,cup,syntax,s-selection,animate_subject_passive,True,True,False,False,334,歌
335,A lot of organizations were boycotted by the adult.,A lot of organizations were boycotted by the university.,A lot of organizations were boycotted by the,adult,university,syntax,s-selection,animate_subject_passive,True,True,False,False,335,broadcasts
336,Brad wasn't forgotten by some teenager.,Brad wasn't forgotten by some shawls.,Brad wasn't forgotten by some,teenager,shawls,syntax,s-selection,animate_subject_passive,True,True,False,False,336,requirements
337,Meredith was hated by some guests.,Meredith was hated by some casserole.,Meredith was hated by some,guests,casserole,syntax,s-selection,animate_subject_passive,True,True,False,False,337,rises
338,Martin wasn't escaped from by some offspring.,Martin wasn't escaped from by some mouse.,Martin wasn't escaped from by some,offspring,mouse,syntax,s-selection,animate_subject_passive,True,True,False,False,338,mp
339,This slope is climbed up by the pedestrian.,This slope is climbed up by the eyes.,This slope is climbed up by the,pedestrian,eyes,syntax,s-selection,animate_subject_passive,True,True,False,False,339,dae
340,Jacqueline isn't loved by the pedestrian.,Jacqueline isn't loved by the phenomena.,Jacqueline isn't loved by the,pedestrian,phenomena,syntax,s-selection,animate_subject_passive,True,True,False,False,340,歌
341,Gary is discussed by the alumnus.,Gary is discussed by the oxen.,Gary is discussed by the,alumnus,oxen,syntax,s-selection,animate_subject_passive,True,True,False,False,341,jones
342,The glacier isn't exited by the children.,The glacier isn't exited by the fish.,The glacier isn't exited by the,children,fish,syntax,s-selection,animate_subject_passive,True,True,False,False,342,rebuilt
343,An association is researched by some child.,An association is researched by some paintings.,An association is researched by some,child,paintings,syntax,s-selection,animate_subject_passive,True,True,False,False,343,nhl
344,Leslie wasn't fired by the senator.,Leslie wasn't fired by the rabbits.,Leslie wasn't fired by the,senator,rabbits,syntax,s-selection,animate_subject_passive,True,True,False,False,344,þ
345,Those teachers were hidden by the child.,Those teachers were hidden by the computer.,Those teachers were hidden by the,child,computer,syntax,s-selection,animate_subject_passive,True,True,False,False,345,clinton
346,The cashier was disliked by the ladies.,The cashier was disliked by the paralyses.,The cashier was disliked by the,ladies,paralyses,syntax,s-selection,animate_subject_passive,True,True,False,False,346,[unknown]
347,A museum isn't passed by the child.,A museum isn't passed by the casserole.,A museum isn't passed by the,child,casserole,syntax,s-selection,animate_subject_passive,True,True,False,False,347,venture
348,Charles is respected by the women.,Charles is respected by the synopsis.,Charles is respected by the,women,synopsis,syntax,s-selection,animate_subject_passive,True,True,False,False,348,jones
349,Charles isn't kissed by some men.,Charles isn't kissed by some deer.,Charles isn't kissed by some,men,deer,syntax,s-selection,animate_subject_passive,True,True,False,False,349,歌
350,Janice wasn't referenced by some alumnus.,Janice wasn't referenced by some cars.,Janice wasn't referenced by some,alumnus,cars,syntax,s-selection,animate_subject_passive,True,True,False,False,350,idea
351,Vincent is talked about by some patients.,Vincent is talked about by some skateboards.,Vincent is talked about by some,patients,skateboards,syntax,s-selection,animate_subject_passive,True,True,False,False,351,nhl
352,Winston Churchill is loved by some lady.,Winston Churchill is loved by some newspaper article.,Winston Churchill is loved by some,lady,newspaper article,syntax,s-selection,animate_subject_passive,True,True,False,False,352,recorded
353,Guests were thought about by some guests.,Guests were thought about by some picture.,Guests were thought about by some,guests,picture,syntax,s-selection,animate_subject_passive,True,True,False,False,353,ウ
354,These doctors weren't escaped from by some actress.,These doctors weren't escaped from by some lamps.,These doctors weren't escaped from by some,actress,lamps,syntax,s-selection,animate_subject_passive,True,True,False,False,354,lies
355,William is worked with by the girl.,William is worked with by the window.,William is worked with by the,girl,window,syntax,s-selection,animate_subject_passive,True,True,False,False,355,pastor
356,The steak is taken by some customers.,The steak is taken by some rugs.,The steak is taken by some,customers,rugs,syntax,s-selection,animate_subject_passive,True,True,False,False,356,rocky
357,Heather isn't questioned by the girls.,Heather isn't questioned by the sheep.,Heather isn't questioned by the,girls,sheep,syntax,s-selection,animate_subject_passive,True,True,False,False,357,nephew
358,A lot of mountains are ascended by some driver.,A lot of mountains are ascended by some chair.,A lot of mountains are ascended by some,driver,chair,syntax,s-selection,animate_subject_passive,True,True,False,False,358,lowest
359,The glacier wasn't exited by the alumni.,The glacier wasn't exited by the association.,The glacier wasn't exited by the,alumni,association,syntax,s-selection,animate_subject_passive,True,True,False,False,359,ق
360,These movie theaters are hidden by the child.,These movie theaters are hidden by the octopi.,These movie theaters are hidden by the,child,octopi,syntax,s-selection,animate_subject_passive,True,True,False,False,360,ウ
361,The mountain was boycotted by the man.,The mountain was boycotted by the nuclei.,The mountain was boycotted by the,man,nuclei,syntax,s-selection,animate_subject_passive,True,True,False,False,361,ウ
362,A lot of actors aren't hired by some child.,A lot of actors aren't hired by some candle.,A lot of actors aren't hired by some,child,candle,syntax,s-selection,animate_subject_passive,True,True,False,False,362,su
363,Christina isn't remembered by some girls.,Christina isn't remembered by some fish.,Christina isn't remembered by some,girls,fish,syntax,s-selection,animate_subject_passive,True,True,False,False,363,歌
364,Kathleen was healed by the patient.,Kathleen was healed by the media.,Kathleen was healed by the,patient,media,syntax,s-selection,animate_subject_passive,True,True,False,False,364,rises
365,Candice is healed by the patients.,Candice is healed by the carriage.,Candice is healed by the,patients,carriage,syntax,s-selection,animate_subject_passive,True,True,False,False,365,rises
366,Tonya isn't complained about by the offspring.,Tonya isn't complained about by the plates.,Tonya isn't complained about by the,offspring,plates,syntax,s-selection,animate_subject_passive,True,True,False,False,366,[unknown]
367,A grocery store isn't skated around by some teenager.,A grocery store isn't skated around by some light.,A grocery store isn't skated around by some,teenager,light,syntax,s-selection,animate_subject_passive,True,True,False,False,367,june
368,Marie was admired by some guys.,Marie was admired by some spinach.,Marie was admired by some,guys,spinach,syntax,s-selection,animate_subject_passive,True,True,False,False,368,rises
369,The glaciers aren't explored by some children.,The glaciers aren't explored by some horses.,The glaciers aren't explored by some,children,horses,syntax,s-selection,animate_subject_passive,True,True,False,False,369,nhl
370,Some high school isn't passed by some men.,Some high school isn't passed by some picture.,Some high school isn't passed by some,men,picture,syntax,s-selection,animate_subject_passive,True,True,False,False,370,gay
371,The Lutherans are sounded like by the alumnus.,The Lutherans are sounded like by the hair.,The Lutherans are sounded like by the,alumnus,hair,syntax,s-selection,animate_subject_passive,True,True,False,False,371,occasions
372,Carla isn't found by some pedestrian.,Carla isn't found by some shawls.,Carla isn't found by some,pedestrian,shawls,syntax,s-selection,animate_subject_passive,True,True,False,False,372,somewhat
373,A high school is walked through by the senator.,A high school is walked through by the truck.,A high school is walked through by the,senator,truck,syntax,s-selection,animate_subject_passive,True,True,False,False,373,ban
374,Patrick is referenced by some senator.,Patrick is referenced by some pie.,Patrick is referenced by some,senator,pie,syntax,s-selection,animate_subject_passive,True,True,False,False,374,rises
375,That closet was exited by the person.,That closet was exited by the pies.,That closet was exited by the,person,pies,syntax,s-selection,animate_subject_passive,True,True,False,False,375,ウ
376,A coat is worn by the boys.,A coat is worn by the government.,A coat is worn by the,boys,government,syntax,s-selection,animate_subject_passive,True,True,False,False,376,recorded
377,That chicken was lifted by the actors.,That chicken was lifted by the fungus.,That chicken was lifted by the,actors,fungus,syntax,s-selection,animate_subject_passive,True,True,False,False,377,ウ
378,Theresa wasn't referenced by some boys.,Theresa wasn't referenced by some thesis.,Theresa wasn't referenced by some,boys,thesis,syntax,s-selection,animate_subject_passive,True,True,False,False,378,radical
379,Most stairs aren't climbed up by the children.,Most stairs aren't climbed up by the commentary.,Most stairs aren't climbed up by the,children,commentary,syntax,s-selection,animate_subject_passive,True,True,False,False,379,understand
380,Every picture isn't brought by the drivers.,Every picture isn't brought by the nucleus.,Every picture isn't brought by the,drivers,nucleus,syntax,s-selection,animate_subject_passive,True,True,False,False,380,geneva
381,Some malls are walked through by some child.,Some malls are walked through by some means.,Some malls are walked through by some,child,means,syntax,s-selection,animate_subject_passive,True,True,False,False,381,pastor
382,The Clintons are concealed by the adult.,The Clintons are concealed by the bananas.,The Clintons are concealed by the,adult,bananas,syntax,s-selection,animate_subject_passive,True,True,False,False,382,dae
383,A lot of rivers are boycotted by some waitress.,A lot of rivers are boycotted by some university.,A lot of rivers are boycotted by some,waitress,university,syntax,s-selection,animate_subject_passive,True,True,False,False,383,kent
384,These grocery stores were driven to by some waiters.,These grocery stores were driven to by some car.,These grocery stores were driven to by some,waiters,car,syntax,s-selection,animate_subject_passive,True,True,False,False,384,june
385,Most people were remembered by some man.,Most people were remembered by some couch.,Most people were remembered by some,man,couch,syntax,s-selection,animate_subject_passive,True,True,False,False,385,pastor
386,Sherry was thought about by some girls.,Sherry was thought about by some hypothesis.,Sherry was thought about by some,girls,hypothesis,syntax,s-selection,animate_subject_passive,True,True,False,False,386,pastor
387,Rivers are insulted by some guy.,Rivers are insulted by some couches.,Rivers are insulted by some,guy,couches,syntax,s-selection,animate_subject_passive,True,True,False,False,387,ウ
388,Tiffany wasn't cared for by the children.,Tiffany wasn't cared for by the hamsters.,Tiffany wasn't cared for by the,children,hamsters,syntax,s-selection,animate_subject_passive,True,True,False,False,388,offering
389,Rose isn't attacked by the alumnus.,Rose isn't attacked by the pasta.,Rose isn't attacked by the,alumnus,pasta,syntax,s-selection,animate_subject_passive,True,True,False,False,389,歌
390,Heidi isn't cared for by some actresses.,Heidi isn't cared for by some sheep.,Heidi isn't cared for by some,actresses,sheep,syntax,s-selection,animate_subject_passive,True,True,False,False,390,rises
391,Every dish was messed up by the man.,Every dish was messed up by the spotlights.,Every dish was messed up by the,man,spotlights,syntax,s-selection,animate_subject_passive,True,True,False,False,391,rises
392,Gerald isn't cured by the person.,Gerald isn't cured by the commentary.,Gerald isn't cured by the,person,commentary,syntax,s-selection,animate_subject_passive,True,True,False,False,392,rises
393,A lot of wheelbarrows aren't broken by some alumnus.,A lot of wheelbarrows aren't broken by some ox.,A lot of wheelbarrows aren't broken by some,alumnus,ox,syntax,s-selection,animate_subject_passive,True,True,False,False,393,hold
394,Most grocery stores weren't cleaned by some girls.,Most grocery stores weren't cleaned by some stimulus.,Most grocery stores weren't cleaned by some,girls,stimulus,syntax,s-selection,animate_subject_passive,True,True,False,False,394,ウ
395,Most shoes weren't messed up by the guests.,Most shoes weren't messed up by the pictures.,Most shoes weren't messed up by the,guests,pictures,syntax,s-selection,animate_subject_passive,True,True,False,False,395,[unknown]
396,A waiter wasn't listened to by some guys.,A waiter wasn't listened to by some glass.,A waiter wasn't listened to by some,guys,glass,syntax,s-selection,animate_subject_passive,True,True,False,False,396,detailed
397,Kristen wasn't loved by the women.,Kristen wasn't loved by the synopsis.,Kristen wasn't loved by the,women,synopsis,syntax,s-selection,animate_subject_passive,True,True,False,False,397,歌
398,Rodney isn't described by some teacher.,Rodney isn't described by some movies.,Rodney isn't described by some,teacher,movies,syntax,s-selection,animate_subject_passive,True,True,False,False,398,remix
399,The cilantro wasn't noticed by some senator.,The cilantro wasn't noticed by some stimulus.,The cilantro wasn't noticed by some,senator,stimulus,syntax,s-selection,animate_subject_passive,True,True,False,False,399,[unknown]
400,A mountain was ascended by the child.,A mountain was ascended by the candle.,A mountain was ascended by the,child,candle,syntax,s-selection,animate_subject_passive,True,True,False,False,400,pastor
401,Deborah isn't visited by some offspring.,Deborah isn't visited by some lice.,Deborah isn't visited by some,offspring,lice,syntax,s-selection,animate_subject_passive,True,True,False,False,401,episode
402,The Great Lakes were walked through by the driver.,The Great Lakes were walked through by the ice cream.,The Great Lakes were walked through by the,driver,ice cream,syntax,s-selection,animate_subject_passive,True,True,False,False,402,june
403,Carlos wasn't fled from by some actors.,Carlos wasn't fled from by some glass.,Carlos wasn't fled from by some,actors,glass,syntax,s-selection,animate_subject_passive,True,True,False,False,403,throat
404,Sonia wasn't hidden by the waitresses.,Sonia wasn't hidden by the coats.,Sonia wasn't hidden by the,waitresses,coats,syntax,s-selection,animate_subject_passive,True,True,False,False,404,individual
405,The hospital wasn't walked through by some waiter.,The hospital wasn't walked through by some screen.,The hospital wasn't walked through by some,waiter,screen,syntax,s-selection,animate_subject_passive,True,True,False,False,405,charlotte
406,Some adult was argued about by the pedestrians.,Some adult was argued about by the mirrors.,Some adult was argued about by the,pedestrians,mirrors,syntax,s-selection,animate_subject_passive,True,True,False,False,406,f
